episode,name,score
120,agent-0,-0.009999999776482582
120,agent-1,0.0
120,mean,-0.004999999888241291
120,rolling-mean 100,0.005500000268220902
121,agent-0,0.0
121,agent-1,-0.009999999776482582
121,mean,-0.004999999888241291
121,rolling-mean 100,0.005500000268220902
122,agent-0,-0.009999999776482582
122,agent-1,0.0
122,mean,-0.004999999888241291
122,rolling-mean 100,0.005500000268220902
123,agent-0,-0.009999999776482582
123,agent-1,0.0
123,mean,-0.004999999888241291
123,rolling-mean 100,0.005500000268220902
124,agent-0,0.0
124,agent-1,-0.009999999776482582
124,mean,-0.004999999888241291
124,rolling-mean 100,0.005500000268220902
125,agent-0,0.0
125,agent-1,-0.009999999776482582
125,mean,-0.004999999888241291
125,rolling-mean 100,0.005500000268220902
126,agent-0,0.10000000149011612
126,agent-1,0.09000000171363354
126,mean,0.09500000160187483
126,rolling-mean 100,0.006000000275671482
127,agent-0,0.0
127,agent-1,-0.009999999776482582
127,mean,-0.004999999888241291
127,rolling-mean 100,0.006000000275671482
128,agent-0,0.0
128,agent-1,-0.009999999776482582
128,mean,-0.004999999888241291
128,rolling-mean 100,0.006000000275671482
129,agent-0,0.0
129,agent-1,-0.009999999776482582
129,mean,-0.004999999888241291
129,rolling-mean 100,0.006000000275671482
130,agent-0,0.0
130,agent-1,-0.009999999776482582
130,mean,-0.004999999888241291
130,rolling-mean 100,0.005500000268220902
131,agent-0,-0.009999999776482582
131,agent-1,0.0
131,mean,-0.004999999888241291
131,rolling-mean 100,0.005500000268220902
132,agent-0,-0.009999999776482582
132,agent-1,0.0
132,mean,-0.004999999888241291
132,rolling-mean 100,0.005000000260770321
133,agent-0,0.0
133,agent-1,-0.009999999776482582
133,mean,-0.004999999888241291
133,rolling-mean 100,0.005000000260770321
134,agent-0,0.0
134,agent-1,-0.009999999776482582
134,mean,-0.004999999888241291
134,rolling-mean 100,0.005000000260770321
135,agent-0,-0.009999999776482582
135,agent-1,0.0
135,mean,-0.004999999888241291
135,rolling-mean 100,0.004500000253319741
136,agent-0,0.10000000149011612
136,agent-1,-0.009999999776482582
136,mean,0.04500000085681677
136,rolling-mean 100,0.005000000260770321
137,agent-0,0.0
137,agent-1,-0.009999999776482582
137,mean,-0.004999999888241291
137,rolling-mean 100,0.004500000253319741
138,agent-0,0.0
138,agent-1,-0.009999999776482582
138,mean,-0.004999999888241291
138,rolling-mean 100,0.004500000253319741
139,agent-0,-0.009999999776482582
139,agent-1,0.0
139,mean,-0.004999999888241291
139,rolling-mean 100,0.004500000253319741
140,agent-0,0.0
140,agent-1,-0.009999999776482582
140,mean,-0.004999999888241291
140,rolling-mean 100,0.004500000253319741
141,agent-0,0.0
141,agent-1,-0.009999999776482582
141,mean,-0.004999999888241291
141,rolling-mean 100,0.004500000253319741
142,agent-0,-0.009999999776482582
142,agent-1,0.0
142,mean,-0.004999999888241291
142,rolling-mean 100,0.004500000253319741
143,agent-0,0.0
143,agent-1,-0.009999999776482582
143,mean,-0.004999999888241291
143,rolling-mean 100,0.004500000253319741
144,agent-0,-0.009999999776482582
144,agent-1,0.0
144,mean,-0.004999999888241291
144,rolling-mean 100,0.004500000253319741
145,agent-0,0.0
145,agent-1,-0.009999999776482582
145,mean,-0.004999999888241291
145,rolling-mean 100,0.004500000253319741
146,agent-0,0.10000000149011612
146,agent-1,0.09000000171363354
146,mean,0.09500000160187483
146,rolling-mean 100,0.005500000268220902
147,agent-0,-0.009999999776482582
147,agent-1,0.0
147,mean,-0.004999999888241291
147,rolling-mean 100,0.005500000268220902
148,agent-0,0.0
148,agent-1,-0.009999999776482582
148,mean,-0.004999999888241291
148,rolling-mean 100,0.005500000268220902
149,agent-0,0.0
149,agent-1,-0.009999999776482582
149,mean,-0.004999999888241291
149,rolling-mean 100,0.005500000268220902
150,agent-0,0.0
150,agent-1,-0.009999999776482582
150,mean,-0.004999999888241291
150,rolling-mean 100,0.005500000268220902
151,agent-0,0.10000000149011612
151,agent-1,-0.009999999776482582
151,mean,0.04500000085681677
151,rolling-mean 100,0.005500000268220902
152,agent-0,-0.009999999776482582
152,agent-1,0.0
152,mean,-0.004999999888241291
152,rolling-mean 100,0.005500000268220902
153,agent-0,-0.009999999776482582
153,agent-1,0.0
153,mean,-0.004999999888241291
153,rolling-mean 100,0.005500000268220902
154,agent-0,0.0
154,agent-1,-0.009999999776482582
154,mean,-0.004999999888241291
154,rolling-mean 100,0.005500000268220902
155,agent-0,0.0
155,agent-1,-0.009999999776482582
155,mean,-0.004999999888241291
155,rolling-mean 100,0.005500000268220902
156,agent-0,0.0
156,agent-1,-0.009999999776482582
156,mean,-0.004999999888241291
156,rolling-mean 100,0.005500000268220902
157,agent-0,-0.009999999776482582
157,agent-1,0.0
157,mean,-0.004999999888241291
157,rolling-mean 100,0.005500000268220902
158,agent-0,-0.009999999776482582
158,agent-1,0.0
158,mean,-0.004999999888241291
158,rolling-mean 100,0.005500000268220902
159,agent-0,0.0
159,agent-1,-0.009999999776482582
159,mean,-0.004999999888241291
159,rolling-mean 100,0.005500000268220902
160,agent-0,-0.009999999776482582
160,agent-1,0.0
160,mean,-0.004999999888241291
160,rolling-mean 100,0.005500000268220902
161,agent-0,0.0
161,agent-1,-0.009999999776482582
161,mean,-0.004999999888241291
161,rolling-mean 100,0.005500000268220902
162,agent-0,0.0
162,agent-1,-0.009999999776482582
162,mean,-0.004999999888241291
162,rolling-mean 100,0.005500000268220902
163,agent-0,0.0
163,agent-1,-0.009999999776482582
163,mean,-0.004999999888241291
163,rolling-mean 100,0.005500000268220902
164,agent-0,-0.009999999776482582
164,agent-1,0.0
164,mean,-0.004999999888241291
164,rolling-mean 100,0.005500000268220902
165,agent-0,0.09000000171363354
